District,Hotel Name,Budget Category,Price Range (NPR),Hotel Type
Achham,Achham Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Achham,Green Valley Hotel Achham,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Achham,Himalayan View Achham,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Arghakhanchi,Arghakhanchi Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Arghakhanchi,Heritage Inn Arghakhanchi,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Arghakhanchi,Arghakhanchi Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Baglung,Baglung Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Baglung,Heritage Inn Baglung,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Baglung,Luxury Baglung Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Baitadi,Baitadi Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Baitadi,Baitadi Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Baitadi,The Grand Baitadi Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Bajhang,Bajhang Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Bajhang,Bajhang Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Bajhang,Himalayan View Bajhang,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Bajura,Bajura Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Bajura,Green Valley Hotel Bajura,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Bajura,The Grand Bajura Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Banke,Tranquil Inn Banke,Low,500 - 1500,Guesthouse / Hostel
Banke,Heritage Inn Banke,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Banke,Himalayan View Banke,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Bara,Tranquil Inn Bara,Low,500 - 1500,Guesthouse / Hostel
Bara,Green Valley Hotel Bara,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Bara,Himalayan View Bara,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Bardiya,Bardiya Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Bardiya,Bardiya Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Bardiya,The Grand Bardiya Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Bhaktapur,Tranquil Inn Bhaktapur,Low,500 - 1500,Guesthouse / Hostel
Bhaktapur,Green Valley Hotel Bhaktapur,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Bhaktapur,Himalayan View Bhaktapur,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Bhojpur,Tranquil Inn Bhojpur,Low,500 - 1500,Guesthouse / Hostel
Bhojpur,Green Valley Hotel Bhojpur,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Bhojpur,Luxury Bhojpur Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Chitwan,Chitwan Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Chitwan,Green Valley Hotel Chitwan,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Chitwan,Himalayan View Chitwan,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Dadeldhura,Dadeldhura Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Dadeldhura,Dadeldhura Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Dadeldhura,Himalayan View Dadeldhura,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Dailekh,Tranquil Inn Dailekh,Low,500 - 1500,Guesthouse / Hostel
Dailekh,Dailekh Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Dailekh,Dailekh Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Dang,Tranquil Inn Dang,Low,500 - 1500,Guesthouse / Hostel
Dang,Heritage Inn Dang,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Dang,Dang Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Darchula,Tranquil Inn Darchula,Low,500 - 1500,Guesthouse / Hostel
Darchula,Darchula Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Darchula,Darchula Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Dhading,Dhading Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Dhading,Green Valley Hotel Dhading,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Dhading,Himalayan View Dhading,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Dhankuta,Dhankuta Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Dhankuta,Dhankuta Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Dhankuta,Dhankuta Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Dhanusha,Dhanusha Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Dhanusha,Green Valley Hotel Dhanusha,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Dhanusha,Himalayan View Dhanusha,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Dolakha,Dolakha Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Dolakha,Heritage Inn Dolakha,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Dolakha,Luxury Dolakha Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Dolpa,Dolpa Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Dolpa,Green Valley Hotel Dolpa,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Dolpa,Luxury Dolpa Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Doti,Doti Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Doti,Doti Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Doti,The Grand Doti Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Gorkha,Gorkha Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Gorkha,Gorkha Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Gorkha,Luxury Gorkha Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Gulmi,Tranquil Inn Gulmi,Low,500 - 1500,Guesthouse / Hostel
Gulmi,Gulmi Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Gulmi,Gulmi Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Humla,Tranquil Inn Humla,Low,500 - 1500,Guesthouse / Hostel
Humla,Humla Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Humla,The Grand Humla Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Ilam,Ilam Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Ilam,Ilam Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Ilam,Luxury Ilam Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Jajarkot,Jajarkot Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Jajarkot,Jajarkot Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Jajarkot,Himalayan View Jajarkot,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Jhapa,Jhapa Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Jhapa,Heritage Inn Jhapa,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Jhapa,The Grand Jhapa Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Jumla,Tranquil Inn Jumla,Low,500 - 1500,Guesthouse / Hostel
Jumla,Green Valley Hotel Jumla,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Jumla,Luxury Jumla Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Kailali,Kailali Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Kailali,Kailali Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Kailali,Himalayan View Kailali,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Kalikot,Kalikot Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Kalikot,Kalikot Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Kalikot,Luxury Kalikot Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Kanchanpur,Kanchanpur Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Kanchanpur,Kanchanpur Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Kanchanpur,Kanchanpur Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Kapilvastu,Kapilvastu Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Kapilvastu,Kapilvastu Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Kapilvastu,Luxury Kapilvastu Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Kaski,Kaski Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Kaski,Kaski Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Kaski,Himalayan View Kaski,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Kathmandu,Kathmandu Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Kathmandu,Heritage Inn Kathmandu,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Kathmandu,Luxury Kathmandu Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Kavrepalanchok,Kavrepalanchok Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Kavrepalanchok,Heritage Inn Kavrepalanchok,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Kavrepalanchok,Kavrepalanchok Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Khotang,Khotang Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Khotang,Khotang Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Khotang,Luxury Khotang Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Lalitpur,Lalitpur Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Lalitpur,Green Valley Hotel Lalitpur,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Lalitpur,The Grand Lalitpur Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Lamjung,Tranquil Inn Lamjung,Low,500 - 1500,Guesthouse / Hostel
Lamjung,Lamjung Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Lamjung,Himalayan View Lamjung,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Mahottari,Mahottari Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Mahottari,Heritage Inn Mahottari,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Mahottari,Himalayan View Mahottari,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Makwanpur,Makwanpur Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Makwanpur,Heritage Inn Makwanpur,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Makwanpur,The Grand Makwanpur Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Manang,Manang Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Manang,Manang Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Manang,The Grand Manang Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Morang,Tranquil Inn Morang,Low,500 - 1500,Guesthouse / Hostel
Morang,Morang Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Morang,Himalayan View Morang,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Mugu,Mugu Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Mugu,Mugu Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Mugu,The Grand Mugu Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Mustang,Tranquil Inn Mustang,Low,500 - 1500,Guesthouse / Hostel
Mustang,Mustang Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Mustang,Luxury Mustang Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Myagdi,Myagdi Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Myagdi,Myagdi Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Myagdi,Myagdi Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Nawalparasi,Nawalparasi Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Nawalparasi,Green Valley Hotel Nawalparasi,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Nawalparasi,Nawalparasi Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Nuwakot,Tranquil Inn Nuwakot,Low,500 - 1500,Guesthouse / Hostel
Nuwakot,Heritage Inn Nuwakot,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Nuwakot,Luxury Nuwakot Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Okhaldhunga,Okhaldhunga Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Okhaldhunga,Green Valley Hotel Okhaldhunga,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Okhaldhunga,Okhaldhunga Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Palpa,Palpa Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Palpa,Green Valley Hotel Palpa,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Palpa,Luxury Palpa Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Panchthar,Tranquil Inn Panchthar,Low,500 - 1500,Guesthouse / Hostel
Panchthar,Panchthar Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Panchthar,Luxury Panchthar Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Parbat,Parbat Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Parbat,Heritage Inn Parbat,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Parbat,Himalayan View Parbat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Parsa,Tranquil Inn Parsa,Low,500 - 1500,Guesthouse / Hostel
Parsa,Parsa Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Parsa,Parsa Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Pyuthan,Pyuthan Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Pyuthan,Green Valley Hotel Pyuthan,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Pyuthan,The Grand Pyuthan Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Ramechhap,Tranquil Inn Ramechhap,Low,500 - 1500,Guesthouse / Hostel
Ramechhap,Ramechhap Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Ramechhap,Himalayan View Ramechhap,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Rasuwa,Rasuwa Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Rasuwa,Heritage Inn Rasuwa,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Rasuwa,Luxury Rasuwa Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Rautahat,Tranquil Inn Rautahat,Low,500 - 1500,Guesthouse / Hostel
Rautahat,Rautahat Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Rautahat,Himalayan View Rautahat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Rolpa,Tranquil Inn Rolpa,Low,500 - 1500,Guesthouse / Hostel
Rolpa,Rolpa Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Rolpa,The Grand Rolpa Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Rukum,Rukum Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Rukum,Green Valley Hotel Rukum,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Rukum,Rukum Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Rupandehi,Rupandehi Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Rupandehi,Heritage Inn Rupandehi,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Rupandehi,Himalayan View Rupandehi,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Salyan,Salyan Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Salyan,Salyan Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Salyan,Luxury Salyan Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Sankhuwasabha,Sankhuwasabha Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Sankhuwasabha,Green Valley Hotel Sankhuwasabha,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Sankhuwasabha,Luxury Sankhuwasabha Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Saptari,Saptari Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Saptari,Saptari Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Saptari,Saptari Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Sarlahi,Tranquil Inn Sarlahi,Low,500 - 1500,Guesthouse / Hostel
Sarlahi,Sarlahi Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Sarlahi,Sarlahi Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Sindhuli,Tranquil Inn Sindhuli,Low,500 - 1500,Guesthouse / Hostel
Sindhuli,Green Valley Hotel Sindhuli,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Sindhuli,Luxury Sindhuli Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Sindhupalchok,Sindhupalchok Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Sindhupalchok,Sindhupalchok Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Sindhupalchok,Himalayan View Sindhupalchok,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Siraha,Tranquil Inn Siraha,Low,500 - 1500,Guesthouse / Hostel
Siraha,Siraha Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Siraha,Siraha Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Solukhumbu,Solukhumbu Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Solukhumbu,Solukhumbu Comfort Hotel,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Solukhumbu,The Grand Solukhumbu Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Sunsari,Sunsari Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Sunsari,Green Valley Hotel Sunsari,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Sunsari,The Grand Sunsari Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Surkhet,Surkhet Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Surkhet,Surkhet Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Surkhet,Surkhet Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Syangja,Syangja Guesthouse,Low,500 - 1500,Guesthouse / Hostel
Syangja,Heritage Inn Syangja,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Syangja,Luxury Syangja Resort,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Tanahun,Tanahun Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Tanahun,Tanahun Boutique Stay,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Tanahun,Tanahun Royal Retreat,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Taplejung,Taplejung Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Taplejung,Green Valley Hotel Taplejung,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Taplejung,Himalayan View Taplejung,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Terhathum,Terhathum Budget Stay,Low,500 - 1500,Guesthouse / Hostel
Terhathum,Green Valley Hotel Terhathum,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Terhathum,Himalayan View Terhathum,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
Udayapur,Udayapur Backpackers Lodge,Low,500 - 1500,Guesthouse / Hostel
Udayapur,Heritage Inn Udayapur,Mid,2000 - 5000,3-Star Hotel / Boutique Stay
Udayapur,The Grand Udayapur Hotel,High,6000 - 15000,4-Star / 5-Star Hotel / Resort
